HINDUNILVR_Close,ICICIBANK_Close,LT_Close,BHARTIARTL_Close,INFY_Close,ITC_Close,HDFCBANK_Close,SBIN_Close,RELIANCE_Close,TCS_Close
1923.5,578.2,895.6,344.5,11977.6,1412.0,708.4,891.0,1733.8,1698.15
1934.0,576.45,889.45,341.95,11954.6,1384.5,702.65,898.1,1745.0,1685.65
1951.0,573.85,904.45,344.15,11949.8,1394.0,706.45,892.1,1782.2,1710.05
1972.0,585.05,922.575,345.5,11987.4,1421.0,708.75,908.15,1778.6,1702.85
1951.0,597.0,912.825,340.05,11917.4,1401.0,713.45,904.9,1795.7,1687.6
1962.5,606.5,916.05,346.45,12027.6,1431.0,713.3,912.05,1840.0,1733.2
1950.5,613.7,925.75,344.95,12221.2,1469.5,732.05,917.9,1859.7,1743.1
1948.0,604.55,924.75,342.45,12219.6,1454.0,739.5,941.3,1843.4,1732.35
1935.0,600.15,920.4,347.25,12212.8,1454.5,768.95,940.15,1841.4,1705.6
1932.5,591.2,914.025,351.4,12143.4,1453.5,764.85,926.95,1820.3,1688.95
1890.5,585.25,901.375,341.2,11900.6,1428.5,748.35,911.1,1788.2,1672.5
1877.0,577.8,892.95,335.1,11351.2,1446.0,746.65,932.95,1773.7,1673.7
1866.5,584.0,903.15,334.25,11378.4,1455.0,729.9,923.8,1770.3,1651.75
1866.0,573.3,922.8,334.4,11121.0,1442.0,741.4,917.4,1745.9,1608.75
1860.5,564.4,928.625,331.1,11048.8,1424.5,749.0,907.85,1857.0,1623.4
1846.0,559.15,916.25,330.9,10959.6,1413.5,744.7,893.0,1387.4,1619.55
1876.5,569.55,951.6,346.3,11283.6,1431.0,728.45,907.8,1409.0,1650.35
1864.0,579.5,934.475,344.35,11254.4,1470.5,725.15,906.85,1408.4,1644.0
1880.0,570.7,933.0,344.25,10978.6,1519.0,719.5,902.55,1404.7,1622.15
1883.0,573.1,970.725,347.65,11287.8,1547.0,715.9,901.95,1386.9,1642.6
1962.0,597.05,1021.175,355.85,11311.4,1577.5,718.9,885.2,1376.8,1651.2
1951.0,619.55,1067.75,355.7,11611.6,1554.5,737.1,913.75,1397.3,1659.15
1921.5,614.65,1052.9,358.5,11451.4,1552.5,743.55,883.75,1422.1,1658.9
1952.5,609.25,1086.05,357.25,11521.2,1548.0,762.45,886.35,1427.8,1670.4
1916.0,590.2,1141.65,351.2,11504.2,1550.5,738.8,869.25,1409.6,1666.65
1935.5,579.95,1115.325,363.65,11312.4,1557.0,739.5,865.0,1417.3,1636.8
1903.0,570.95,1101.325,367.05,11147.2,1524.5,731.85,857.2,1393.2,1630.8
1946.5,608.25,1128.175,369.45,11370.0,1567.0,744.8,865.45,1440.7,1679.05
1978.0,628.75,1138.175,370.85,11490.4,1609.0,770.75,875.3,1441.1,1674.1
1972.0,619.1,1102.15,372.2,11610.6,1592.0,762.45,878.9,1433.0,1662.5
2080.5,603.8,1155.925,363.8,11457.4,1631.0,762.05,879.9,1439.2,1669.6
2095.0,609.5,1249.35,363.25,11448.2,1630.0,746.45,884.15,1433.6,1651.0
2244.5,596.5,1200.475,367.5,11287.6,1635.5,747.9,869.0,1428.4,1618.55
2359.0,598.3,1184.05,365.7,11104.6,1708.5,743.75,867.4,1403.6,1619.35
2384.5,597.8,1167.925,363.2,11124.4,1663.0,760.0,868.2,1394.1,1629.15
2307.0,586.9,1143.7,365.15,11141.8,1618.0,742.35,857.75,1386.3,1625.0
2385.0,591.75,1124.95,363.25,11313.6,1628.5,722.2,864.6,1404.1,1649.85
2370.0,593.35,1167.85,368.65,11270.4,1642.5,724.8,868.45,1395.5,1666.0
2415.0,594.3,1151.6,365.5,11202.0,1636.0,726.65,867.2,1407.9,1661.85
2470.5,588.4,1148.8,367.75,11178.2,1660.0,721.95,852.0,1400.7,1670.55
2422.0,593.8,1171.975,364.05,11030.2,1635.0,711.45,875.95,1405.7,1670.05
2386.5,596.6,1186.1,360.75,11402.2,1661.0,728.15,891.25,1400.2,1690.35
2437.0,615.25,1198.475,361.05,11315.8,1724.5,737.15,877.5,1417.7,1700.8
2454.5,616.55,1224.775,377.4,11620.6,1738.5,746.85,881.2,1416.5,1740.2
2442.0,620.4,1236.625,396.8,11417.2,1767.0,758.25,894.65,1426.3,1741.8
2442.5,611.8,1204.725,408.1,11297.4,1742.5,759.7,895.1,1431.5,1705.75
2434.5,613.35,1207.1,404.75,11420.0,1784.0,760.1,896.5,1464.4,1744.3
2523.0,600.9,1249.875,403.0,11278.0,1778.5,757.75,904.15,1465.0,1724.7
2427.5,591.55,1219.5,391.55,11204.6,1738.5,760.05,888.65,1439.8,1722.55
2445.5,601.75,1222.6,382.4,11372.0,1731.5,750.2,905.9,1453.5,1724.85
2520.0,614.35,1258.225,385.8,11654.0,1780.0,749.0,920.35,1462.9,1763.65
2529.0,605.2,1268.275,389.35,11740.8,1751.0,769.25,928.1,1470.7,1828.6
2579.0,606.9,1271.075,386.35,11729.8,1759.0,762.0,953.9,1485.0,1803.15
2584.5,610.8,1252.875,391.05,11687.2,1736.0,767.6,962.6,1537.0,1835.4
